Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Water Use (L),Water Use Intensity (L/m²),Operating Hours per Week,Number of Employees
HydroClear Inc,Mississauga,2021,August,4955,119890,24.2,54,167
HydroClear Inc,Mississauga,2021,September,6597,103124,15.63,48,111
HydroClear Inc,Mississauga,2021,October,5274,166569,31.58,55,142
HydroClear Inc,Mississauga,2021,November,6980,180348,25.84,50,152
HydroClear Inc,Mississauga,2021,December,4602,127532,27.71,52,139
HydroClear Inc,Mississauga,2022,January,6135,98539,16.06,58,115
HydroClear Inc,Mississauga,2022,February,6869,148724,21.65,53,100
HydroClear Inc,Mississauga,2022,March,6253,98490,15.75,56,81
HydroClear Inc,Mississauga,2022,April,4667,110532,23.68,53,135
HydroClear Inc,Mississauga,2022,May,4668,142865,30.61,45,130
HydroClear Inc,Mississauga,2022,June,6791,93389,13.75,46,157
HydroClear Inc,Mississauga,2022,July,4844,169805,35.05,51,106
HydroClear Inc,Mississauga,2022,August,5316,107867,20.29,54,155
HydroClear Inc,Mississauga,2022,September,5138,155727,30.31,54,74
HydroClear Inc,Mississauga,2022,October,5292,151088,28.55,57,74
HydroClear Inc,Mississauga,2022,November,6291,143133,22.75,52,101
HydroClear Inc,Mississauga,2022,December,6937,95904,13.82,51,148
HydroClear Inc,Mississauga,2023,January,4869,176011,36.15,56,96
HydroClear Inc,Mississauga,2023,February,5942,166401,28.0,45,143
HydroClear Inc,Mississauga,2023,March,6886,189340,27.5,47,133
HydroClear Inc,Mississauga,2023,April,5198,149874,28.83,49,76
HydroClear Inc,Mississauga,2023,May,6170,131903,21.38,56,84
HydroClear Inc,Mississauga,2023,June,6400,131829,20.6,55,74
HydroClear Inc,Mississauga,2023,July,4940,95753,19.38,55,142
HydroClear Inc,Mississauga,2023,August,6606,122215,18.5,59,140
HydroClear Inc,Mississauga,2023,September,5467,140407,25.68,58,122
HydroClear Inc,Mississauga,2023,October,6439,121310,18.84,54,167
HydroClear Inc,Mississauga,2023,November,6200,184815,29.81,57,151
HydroClear Inc,Mississauga,2023,December,5109,104865,20.53,53,116
AquaDynamics Ltd,Mississauga,2020,January,5315,169984,31.98,52,81
AquaDynamics Ltd,Mississauga,2020,February,5367,125282,23.34,57,93
AquaDynamics Ltd,Mississauga,2020,March,5477,122218,22.31,55,169
AquaDynamics Ltd,Mississauga,2020,April,6279,122624,19.53,53,126
AquaDynamics Ltd,Mississauga,2020,May,4884,145064,29.7,46,145
AquaDynamics Ltd,Mississauga,2020,June,4627,122643,26.51,51,70
AquaDynamics Ltd,Mississauga,2020,July,6459,101844,15.77,54,122
AquaDynamics Ltd,Mississauga,2020,August,4678,92389,19.75,58,139
AquaDynamics Ltd,Mississauga,2020,September,6077,131813,21.69,51,123
AquaDynamics Ltd,Mississauga,2020,October,4510,107953,23.94,50,145
AquaDynamics Ltd,Mississauga,2020,November,4911,160504,32.68,58,134
AquaDynamics Ltd,Mississauga,2020,December,6374,153352,24.06,46,96
AquaDynamics Ltd,Mississauga,2021,January,5752,119612,20.79,58,71
AquaDynamics Ltd,Mississauga,2021,February,6239,178495,28.61,55,124
AquaDynamics Ltd,Mississauga,2021,March,5845,178080,30.47,57,137
AquaDynamics Ltd,Mississauga,2021,April,4815,125864,26.14,54,140
AquaDynamics Ltd,Mississauga,2021,May,6008,168905,28.11,58,75
AquaDynamics Ltd,Mississauga,2021,June,5033,96389,19.15,53,142
AquaDynamics Ltd,Mississauga,2021,July,5864,92889,15.84,55,153
AquaDynamics Ltd,Mississauga,2021,August,5313,167468,31.52,50,150
AquaDynamics Ltd,Mississauga,2021,September,4922,122052,24.8,52,94
AquaDynamics Ltd,Mississauga,2021,October,4862,181638,37.36,59,152
AquaDynamics Ltd,Mississauga,2021,November,5826,125908,21.61,59,80
AquaDynamics Ltd,Mississauga,2021,December,5009,93829,18.73,47,124
AquaDynamics Ltd,Mississauga,2022,January,4758,162998,34.26,54,110
AquaDynamics Ltd,Mississauga,2022,February,4900,165567,33.79,55,111
AquaDynamics Ltd,Mississauga,2022,March,4876,157521,32.31,59,80
AquaDynamics Ltd,Mississauga,2022,April,6056,113144,18.68,56,134
AquaDynamics Ltd,Mississauga,2022,May,5710,117830,20.64,57,164
AquaDynamics Ltd,Mississauga,2022,June,5037,174285,34.6,48,159
AquaDynamics Ltd,Mississauga,2022,July,4734,148162,31.3,49,110
AquaDynamics Ltd,Mississauga,2022,August,4525,154100,34.06,59,76
AquaDynamics Ltd,Mississauga,2022,September,4681,106528,22.76,51,95
AquaDynamics Ltd,Mississauga,2022,October,5848,143708,24.57,52,84
AquaDynamics Ltd,Mississauga,2022,November,5940,149578,25.18,53,104
AquaDynamics Ltd,Mississauga,2022,December,4895,94459,19.3,57,84
AquaDynamics Ltd,Mississauga,2023,January,5486,126002,22.97,46,91
AquaDynamics Ltd,Mississauga,2023,February,4542,118354,26.06,56,153
AquaDynamics Ltd,Mississauga,2023,March,5141,162643,31.64,56,108
AquaDynamics Ltd,Mississauga,2023,April,6145,118178,19.23,54,169
AquaDynamics Ltd,Mississauga,2023,May,4690,90548,19.31,52,131
AquaDynamics Ltd,Mississauga,2023,June,5247,138752,26.44,57,142
AquaDynamics Ltd,Mississauga,2023,July,5795,95984,16.56,49,115
AquaDynamics Ltd,Mississauga,2023,August,4587,141184,30.78,46,168
AquaDynamics Ltd,Mississauga,2023,September,5202,110172,21.18,45,149
AquaDynamics Ltd,Mississauga,2023,October,5936,176247,29.69,59,104
AquaDynamics Ltd,Mississauga,2023,November,5442,154672,28.42,56,97
AquaDynamics Ltd,Mississauga,2023,December,6278,155406,24.75,45,141
GreenFlow Systems,Mississauga,2020,January,5458,166410,30.49,47,163
GreenFlow Systems,Mississauga,2020,February,4575,128579,28.1,54,114
GreenFlow Systems,Mississauga,2020,March,4747,96490,20.33,54,156
GreenFlow Systems,Mississauga,2020,April,5273,184272,34.95,51,145
GreenFlow Systems,Mississauga,2020,May,5551,98765,17.79,50,86
GreenFlow Systems,Mississauga,2020,June,6988,116589,16.68,46,77
GreenFlow Systems,Mississauga,2020,July,5517,150735,27.32,53,146
GreenFlow Systems,Mississauga,2020,August,6437,128344,19.94,54,78
GreenFlow Systems,Mississauga,2020,September,4773,153729,32.21,56,82
GreenFlow Systems,Mississauga,2020,October,6810,146155,21.46,51,135
GreenFlow Systems,Mississauga,2020,November,4778,175199,36.67,58,168
GreenFlow Systems,Mississauga,2020,December,5416,125454,23.16,53,164
GreenFlow Systems,Mississauga,2021,January,4884,139036,28.47,54,152
GreenFlow Systems,Mississauga,2021,February,5731,182784,31.89,52,159
GreenFlow Systems,Mississauga,2021,March,5417,124281,22.94,52,129
GreenFlow Systems,Mississauga,2021,April,5103,169291,33.17,50,82
GreenFlow Systems,Mississauga,2021,May,5618,115913,20.63,46,88
GreenFlow Systems,Mississauga,2021,June,4751,156035,32.84,52,96
GreenFlow Systems,Mississauga,2021,July,5573,129475,23.23,48,110
GreenFlow Systems,Mississauga,2021,August,4965,157003,31.62,46,94
GreenFlow Systems,Mississauga,2021,September,4762,171525,36.02,45,166
GreenFlow Systems,Mississauga,2021,October,5534,160789,29.05,57,120
GreenFlow Systems,Mississauga,2021,November,4978,117214,23.55,50,93
GreenFlow Systems,Mississauga,2021,December,6607,151975,23.0,57,114
GreenFlow Systems,Mississauga,2022,January,5890,119914,20.36,55,80
GreenFlow Systems,Mississauga,2022,February,6064,104115,17.17,46,108
GreenFlow Systems,Mississauga,2022,March,6752,175032,25.92,47,80
GreenFlow Systems,Mississauga,2022,April,5181,144163,27.83,45,120
GreenFlow Systems,Mississauga,2022,May,6527,170456,26.12,53,107
GreenFlow Systems,Mississauga,2022,June,4862,103598,21.31,46,78
GreenFlow Systems,Mississauga,2022,July,5516,153597,27.85,51,148
GreenFlow Systems,Mississauga,2022,August,6898,149413,21.66,46,162
GreenFlow Systems,Mississauga,2022,September,5797,189640,32.71,55,164
GreenFlow Systems,Mississauga,2022,October,4616,136920,29.66,50,137
GreenFlow Systems,Mississauga,2022,November,6104,118468,19.41,48,81
GreenFlow Systems,Mississauga,2022,December,6675,164866,24.7,57,134
GreenFlow Systems,Mississauga,2023,January,6161,158413,25.71,47,80
GreenFlow Systems,Mississauga,2023,February,6213,97925,15.76,46,163
GreenFlow Systems,Mississauga,2023,March,6987,113426,16.23,56,141
GreenFlow Systems,Mississauga,2023,April,6614,119177,18.02,50,95
GreenFlow Systems,Mississauga,2023,May,5449,136097,24.98,58,149
GreenFlow Systems,Mississauga,2023,June,4755,176479,37.11,50,88
GreenFlow Systems,Mississauga,2023,July,5988,150789,25.18,48,102
GreenFlow Systems,Mississauga,2023,August,5494,160699,29.25,55,89
GreenFlow Systems,Mississauga,2023,September,6320,188916,29.89,57,118
GreenFlow Systems,Mississauga,2023,October,5628,179526,31.9,49,73
GreenFlow Systems,Mississauga,2023,November,6244,108041,17.3,58,86
GreenFlow Systems,Mississauga,2023,December,6466,120890,18.7,52,122
ClearWaters Solutions,Mississauga,2020,January,6162,151526,24.59,49,107
ClearWaters Solutions,Mississauga,2020,February,5980,168897,28.24,52,83
ClearWaters Solutions,Mississauga,2020,March,5628,119887,21.3,54,87
ClearWaters Solutions,Mississauga,2020,April,5164,94466,18.29,51,101
ClearWaters Solutions,Mississauga,2020,May,5893,173581,29.46,58,98
ClearWaters Solutions,Mississauga,2020,June,5713,142710,24.98,54,111
ClearWaters Solutions,Mississauga,2020,July,6105,144122,23.61,58,149
ClearWaters Solutions,Mississauga,2020,August,5824,141497,24.3,58,151
ClearWaters Solutions,Mississauga,2020,September,4628,188378,40.7,49,111
ClearWaters Solutions,Mississauga,2020,October,6211,171077,27.54,59,151
ClearWaters Solutions,Mississauga,2020,November,6977,149784,21.47,55,128
ClearWaters Solutions,Mississauga,2020,December,4514,171780,38.05,47,162
ClearWaters Solutions,Mississauga,2021,January,5976,96342,16.12,50,103
ClearWaters Solutions,Mississauga,2021,February,4803,176681,36.79,59,100
ClearWaters Solutions,Mississauga,2021,March,5191,148422,28.59,53,104
ClearWaters Solutions,Mississauga,2021,April,5972,182269,30.52,50,134
ClearWaters Solutions,Mississauga,2021,May,4549,160962,35.38,52,131
ClearWaters Solutions,Mississauga,2021,June,4729,148438,31.39,59,105
ClearWaters Solutions,Mississauga,2021,July,5604,95053,16.96,59,106
ClearWaters Solutions,Mississauga,2021,August,6613,158167,23.92,57,103
ClearWaters Solutions,Mississauga,2021,September,5857,119565,20.41,51,150
ClearWaters Solutions,Mississauga,2021,October,5662,184422,32.57,57,146
ClearWaters Solutions,Mississauga,2021,November,6086,117735,19.35,57,83
ClearWaters Solutions,Mississauga,2021,December,5699,119475,20.96,57,88
ClearWaters Solutions,Mississauga,2022,January,5169,159819,30.92,58,134
ClearWaters Solutions,Mississauga,2022,February,4587,181082,39.48,48,72
ClearWaters Solutions,Mississauga,2022,March,4565,153119,33.54,47,147
ClearWaters Solutions,Mississauga,2022,April,6934,133370,19.23,50,72
ClearWaters Solutions,Mississauga,2022,May,5700,135155,23.71,47,89
ClearWaters Solutions,Mississauga,2022,June,6725,94593,14.07,54,107
ClearWaters Solutions,Mississauga,2022,July,5508,187581,34.06,59,142
ClearWaters Solutions,Mississauga,2022,August,4565,101228,22.17,54,76
ClearWaters Solutions,Mississauga,2022,September,5999,90265,15.05,49,77
ClearWaters Solutions,Mississauga,2022,October,5622,144001,25.61,52,144
ClearWaters Solutions,Mississauga,2022,November,6420,132972,20.71,49,145
ClearWaters Solutions,Mississauga,2022,December,6969,109337,15.69,59,136
ClearWaters Solutions,Mississauga,2023,January,5735,165973,28.94,58,162
ClearWaters Solutions,Mississauga,2023,February,5141,142263,27.67,48,102
ClearWaters Solutions,Mississauga,2023,March,5953,137864,23.16,55,106
ClearWaters Solutions,Mississauga,2023,April,4978,153381,30.81,55,104
ClearWaters Solutions,Mississauga,2023,May,4947,139396,28.18,45,110
ClearWaters Solutions,Mississauga,2023,June,5348,187150,34.99,54,166
ClearWaters Solutions,Mississauga,2023,July,6898,91374,13.25,53,122
ClearWaters Solutions,Mississauga,2023,August,5125,172984,33.75,54,77
ClearWaters Solutions,Mississauga,2023,September,4662,152220,32.65,46,97
ClearWaters Solutions,Mississauga,2023,October,5943,98321,16.54,56,70
ClearWaters Solutions,Mississauga,2023,November,4509,128096,28.41,56,78
ClearWaters Solutions,Mississauga,2023,December,4775,94729,19.84,49,152
PureStream Corp,Mississauga,2020,January,5227,136221,26.06,46,144
PureStream Corp,Mississauga,2020,February,5654,91761,16.23,50,123
PureStream Corp,Mississauga,2020,March,4866,141852,29.15,54,70
PureStream Corp,Mississauga,2020,April,5853,155041,26.49,56,144
PureStream Corp,Mississauga,2020,May,6243,137178,21.97,45,162
PureStream Corp,Mississauga,2020,June,6932,121226,17.49,58,161
PureStream Corp,Mississauga,2020,July,6169,141561,22.95,45,139
PureStream Corp,Mississauga,2020,August,5649,181750,32.17,46,84
PureStream Corp,Mississauga,2020,September,6604,104107,15.76,47,87
PureStream Corp,Mississauga,2020,October,4771,187841,39.37,58,78
PureStream Corp,Mississauga,2020,November,6201,136865,22.07,57,105
PureStream Corp,Mississauga,2020,December,6673,138523,20.76,53,86
PureStream Corp,Mississauga,2021,January,5867,184483,31.44,54,81
PureStream Corp,Mississauga,2021,February,4665,110590,23.71,51,166
PureStream Corp,Mississauga,2021,March,5718,134876,23.59,45,144
PureStream Corp,Mississauga,2021,April,4879,158050,32.39,48,90
PureStream Corp,Mississauga,2021,May,6001,170556,28.42,53,136
PureStream Corp,Mississauga,2021,June,5604,128972,23.01,45,73
PureStream Corp,Mississauga,2021,July,5043,152589,30.26,45,109
PureStream Corp,Mississauga,2021,August,6763,183664,27.16,58,92
PureStream Corp,Mississauga,2021,September,5547,145319,26.2,51,151
PureStream Corp,Mississauga,2021,October,5073,155697,30.69,57,131
PureStream Corp,Mississauga,2021,November,4910,166968,34.01,56,106
PureStream Corp,Mississauga,2021,December,6019,152113,25.27,52,164
PureStream Corp,Mississauga,2022,January,6463,177890,27.52,50,77
PureStream Corp,Mississauga,2022,February,5048,183378,36.33,47,151
PureStream Corp,Mississauga,2022,March,5052,133034,26.33,45,120
PureStream Corp,Mississauga,2022,April,5663,139507,24.63,56,115
PureStream Corp,Mississauga,2022,May,5009,146164,29.18,48,101
PureStream Corp,Mississauga,2022,June,6810,163971,24.08,49,110
PureStream Corp,Mississauga,2022,July,6488,183150,28.23,59,81
PureStream Corp,Mississauga,2022,August,5591,94656,16.93,50,152
PureStream Corp,Mississauga,2022,September,4686,97421,20.79,59,164
PureStream Corp,Mississauga,2022,October,4813,95097,19.76,59,100
PureStream Corp,Mississauga,2022,November,6097,124587,20.43,52,106
PureStream Corp,Mississauga,2022,December,5197,119007,22.9,46,76
PureStream Corp,Mississauga,2023,January,5069,183804,36.26,50,113
PureStream Corp,Mississauga,2023,February,4556,112409,24.67,46,120
PureStream Corp,Mississauga,2023,March,5589,128406,22.97,58,99
PureStream Corp,Mississauga,2023,April,5381,114028,21.19,50,93
PureStream Corp,Mississauga,2023,May,6721,145985,21.72,51,151
PureStream Corp,Mississauga,2023,June,5324,115082,21.62,50,80
PureStream Corp,Mississauga,2023,July,6503,107003,16.45,57,154
PureStream Corp,Mississauga,2023,August,6481,133805,20.65,47,107
PureStream Corp,Mississauga,2023,September,6726,164716,24.49,55,111
PureStream Corp,Mississauga,2023,October,4719,189674,40.19,51,86
PureStream Corp,Mississauga,2023,November,6278,98244,15.65,53,115
PureStream Corp,Mississauga,2023,December,4564,105101,23.03,50,78
FlowMaster Ltd,Mississauga,2020,January,6194,186612,30.13,50,156
FlowMaster Ltd,Mississauga,2020,February,4650,165654,35.62,45,138
FlowMaster Ltd,Mississauga,2020,March,5029,174313,34.66,59,114
FlowMaster Ltd,Mississauga,2020,April,6222,173775,27.93,53,108
FlowMaster Ltd,Mississauga,2020,May,5583,169100,30.29,50,72
FlowMaster Ltd,Mississauga,2020,June,5840,174012,29.8,49,126
FlowMaster Ltd,Mississauga,2020,July,6062,120157,19.82,53,141
FlowMaster Ltd,Mississauga,2020,August,6836,97542,14.27,46,71
FlowMaster Ltd,Mississauga,2020,September,6439,176928,27.48,52,70
FlowMaster Ltd,Mississauga,2020,October,6031,98464,16.33,53,96
FlowMaster Ltd,Mississauga,2020,November,5896,157320,26.68,54,149
FlowMaster Ltd,Mississauga,2020,December,5854,170193,29.07,53,94
FlowMaster Ltd,Mississauga,2021,January,6728,159866,23.76,45,121
FlowMaster Ltd,Mississauga,2021,February,5060,156630,30.95,58,141
FlowMaster Ltd,Mississauga,2021,March,5899,146035,24.76,45,149
FlowMaster Ltd,Mississauga,2021,April,4574,162174,35.46,47,140
FlowMaster Ltd,Mississauga,2021,May,6339,135935,21.44,59,85
FlowMaster Ltd,Mississauga,2021,June,5597,135345,24.18,56,153
FlowMaster Ltd,Mississauga,2021,July,6941,140483,20.24,57,168
FlowMaster Ltd,Mississauga,2021,August,6006,159214,26.51,50,137
FlowMaster Ltd,Mississauga,2021,September,6250,127251,20.36,50,155
FlowMaster Ltd,Mississauga,2021,October,5648,99544,17.62,46,141
FlowMaster Ltd,Mississauga,2021,November,5590,115832,20.72,51,114
FlowMaster Ltd,Mississauga,2021,December,6174,144612,23.42,57,132
FlowMaster Ltd,Mississauga,2022,January,6931,96967,13.99,57,90
FlowMaster Ltd,Mississauga,2022,February,6776,165384,24.41,47,153
FlowMaster Ltd,Mississauga,2022,March,5240,143023,27.29,49,88
FlowMaster Ltd,Mississauga,2022,April,5396,127501,23.63,51,154
FlowMaster Ltd,Mississauga,2022,May,4768,150948,31.66,52,92
FlowMaster Ltd,Mississauga,2022,June,4919,175081,35.59,56,165
FlowMaster Ltd,Mississauga,2022,July,5645,129716,22.98,52,136
FlowMaster Ltd,Mississauga,2022,August,4951,106632,21.54,47,110
FlowMaster Ltd,Mississauga,2022,September,6008,122742,20.43,53,98
FlowMaster Ltd,Mississauga,2022,October,5124,152673,29.8,57,128
FlowMaster Ltd,Mississauga,2022,November,5259,129156,24.56,59,113
FlowMaster Ltd,Mississauga,2022,December,6465,103569,16.02,54,125
FlowMaster Ltd,Mississauga,2023,January,6375,139484,21.88,51,149
FlowMaster Ltd,Mississauga,2023,February,5579,171472,30.74,52,92
FlowMaster Ltd,Mississauga,2023,March,5205,131002,25.17,47,109
FlowMaster Ltd,Mississauga,2023,April,6026,154126,25.58,47,159
FlowMaster Ltd,Mississauga,2023,May,5929,185670,31.32,45,141
FlowMaster Ltd,Mississauga,2023,June,4827,98362,20.38,55,70
FlowMaster Ltd,Mississauga,2023,July,4711,154434,32.78,58,132
FlowMaster Ltd,Mississauga,2023,August,6211,126144,20.31,53,164
FlowMaster Ltd,Mississauga,2023,September,5257,111485,21.21,49,131
FlowMaster Ltd,Mississauga,2023,October,6577,144910,22.03,52,74
FlowMaster Ltd,Mississauga,2023,November,4934,98758,20.02,57,157
FlowMaster Ltd,Mississauga,2023,December,6460,172308,26.67,57,132
BrightWave Aqua,Mississauga,2020,January,6070,184176,30.34,49,99
BrightWave Aqua,Mississauga,2020,February,5739,167091,29.12,55,83
BrightWave Aqua,Mississauga,2020,March,5073,111916,22.06,46,161
BrightWave Aqua,Mississauga,2020,April,4556,131723,28.91,49,75
BrightWave Aqua,Mississauga,2020,May,5612,128614,22.92,58,140
BrightWave Aqua,Mississauga,2020,June,6392,188334,29.46,47,112
BrightWave Aqua,Mississauga,2020,July,4542,169839,37.39,55,95
BrightWave Aqua,Mississauga,2020,August,5753,123680,21.5,53,133
BrightWave Aqua,Mississauga,2020,September,5454,114386,20.97,55,82
BrightWave Aqua,Mississauga,2020,October,6090,158875,26.09,50,168
BrightWave Aqua,Mississauga,2020,November,6110,182532,29.87,54,101
BrightWave Aqua,Mississauga,2020,December,6500,173503,26.69,57,150
BrightWave Aqua,Mississauga,2021,January,6766,169989,25.12,50,70
BrightWave Aqua,Mississauga,2021,February,6070,120701,19.88,51,157
BrightWave Aqua,Mississauga,2021,March,5436,128474,23.63,50,82
BrightWave Aqua,Mississauga,2021,April,5673,131174,23.12,56,102
BrightWave Aqua,Mississauga,2021,May,5504,95248,17.31,58,92
BrightWave Aqua,Mississauga,2021,June,4695,164139,34.96,57,110
BrightWave Aqua,Mississauga,2021,July,6827,142460,20.87,56,118
BrightWave Aqua,Mississauga,2021,August,5767,183971,31.9,48,165
BrightWave Aqua,Mississauga,2021,September,6050,109075,18.03,48,84
BrightWave Aqua,Mississauga,2021,October,6443,91193,14.15,49,75
BrightWave Aqua,Mississauga,2021,November,6955,138312,19.89,59,76
BrightWave Aqua,Mississauga,2021,December,5532,175359,31.7,56,138
BrightWave Aqua,Mississauga,2022,January,5085,122790,24.15,49,150
BrightWave Aqua,Mississauga,2022,February,6841,114856,16.79,57,138
BrightWave Aqua,Mississauga,2022,March,5713,170971,29.93,58,83
BrightWave Aqua,Mississauga,2022,April,4920,112846,22.94,48,128
BrightWave Aqua,Mississauga,2022,May,6658,162504,24.41,46,122
BrightWave Aqua,Mississauga,2022,June,4558,178273,39.11,55,126
BrightWave Aqua,Mississauga,2022,July,4694,189999,40.48,45,142
BrightWave Aqua,Mississauga,2022,August,4935,107026,21.69,56,71
BrightWave Aqua,Mississauga,2022,September,5085,92943,18.28,57,106
BrightWave Aqua,Mississauga,2022,October,6103,131325,21.52,46,108
BrightWave Aqua,Mississauga,2022,November,6351,171172,26.95,46,115
BrightWave Aqua,Mississauga,2022,December,6104,140613,23.04,51,127
BrightWave Aqua,Mississauga,2023,January,5777,140733,24.36,54,168
BrightWave Aqua,Mississauga,2023,February,4849,178882,36.89,51,92
BrightWave Aqua,Mississauga,2023,March,5025,113089,22.51,51,112
BrightWave Aqua,Mississauga,2023,April,5235,165084,31.53,45,97
BrightWave Aqua,Mississauga,2023,May,6201,180790,29.15,52,101
BrightWave Aqua,Mississauga,2023,June,4693,150199,32.0,46,122
BrightWave Aqua,Mississauga,2023,July,5142,183925,35.77,54,90
BrightWave Aqua,Mississauga,2023,August,5374,166361,30.96,51,83
BrightWave Aqua,Mississauga,2023,September,5754,120670,20.97,48,149
BrightWave Aqua,Mississauga,2023,October,4533,137496,30.33,49,98
BrightWave Aqua,Mississauga,2023,November,6626,105680,15.95,52,91
BrightWave Aqua,Mississauga,2023,December,4709,122176,25.95,50,135
EcoFlow Innovations,Mississauga,2020,January,6264,164714,26.3,47,151
EcoFlow Innovations,Mississauga,2020,February,5848,104340,17.84,50,162
EcoFlow Innovations,Mississauga,2020,March,6046,117498,19.43,59,78
EcoFlow Innovations,Mississauga,2020,April,5456,93621,17.16,56,111
EcoFlow Innovations,Mississauga,2020,May,5535,181640,32.82,54,130
EcoFlow Innovations,Mississauga,2020,June,5279,107043,20.28,55,143
EcoFlow Innovations,Mississauga,2020,July,5250,173448,33.04,52,103
EcoFlow Innovations,Mississauga,2020,August,5203,111903,21.51,50,119
EcoFlow Innovations,Mississauga,2020,September,5846,106418,18.2,55,100
