Year,Organization,Electricity Use - Grid Purchase (kWh),Natural Gas Use (GJ)
2023,City of Brampton,28624.1,0
2023,City of Brampton,6044,32.6
2023,City of Brampton,53211.1,Not Available
2023,City of Brampton,314431.1,1088.6
2023,City of Brampton,48092.8,Not Available
2023,City of Brampton,1509.8,Not Available
2023,City of Brampton,72930.4,530.7
2023,City of Brampton,53036.9,445.3
2023,City of Brampton,23799.6,817.2
2023,City of Brampton,80665.4,804.5
2023,City of Brampton,46990.1,713.1
2023,City of Brampton,115639.9,1038.1
2023,City of Brampton,118059.9,999.1
2023,City of Brampton,81041.1,530.8
2023,City of Brampton,159781.9,797.9
2023,City of Brampton,116214.1,457.2
2023,City of Brampton,89629.5,566.1
2023,City of Brampton,105154.3,667
2023,City of Brampton,83917.8,405.8
2023,City of Brampton,150157.7,661.6
2023,City of Brampton,111242.7,608
2023,City of Brampton,158032.7,934
2023,City of Brampton,65037.2,495.8
2023,City of Brampton,193616.8,Not Available
2023,City of Brampton,34211.1,258.1
2023,City of Brampton,66889.2,0
2023,City of Brampton,48258.8,283.6
2023,City of Brampton,452235.9,Not Available
2023,City of Brampton,517931.2,Not Available
2023,City of Brampton,157233.5,Not Available
2023,City of Brampton,170349.3,1283.2
2023,City of Brampton,Not Available,214.8
2023,City of Brampton,239882.1,Not Available
2023,City of Brampton,905874.5,502.6
2023,City of Brampton,72712.5,480.7
2023,City of Brampton,57411.7,Not Available
2023,City of Brampton,785655.3,113.7
2023,City of Brampton,271628.1,0
2023,The Hospital for Sick Children,16134125.4,422.2
2023,The Hospital for Sick Children,27957634.5,68.8
2023,The Hospital for Sick Children,25475479.5,0.2
2023,Providence Care,2531926.8,13486.1
2023,Providence Care,11121611.1,16606.2
2023,Providence Care,1258588.7,10686.7
2023,Unity Health Toronto,42531812.4,290.6
2023,Unity Health Toronto,8680572.9,54258.2
2023,Unity Health Toronto,19262544,118870.5
2023,Unity Health Toronto,995264.8,1662.6
2023,Unity Health Toronto,9084247.7,0
2023,Town of Oakville,2310598.6,6839.1
2023,Town of Oakville,1747685.6,11955.3
2023,Town of Oakville,1886635.4,9161.8
2023,Town of Oakville,1484937.8,11776.3
2023,Town of Oakville,4160965.9,20870.8
2023,Town of Oakville,1837122.9,7939.5
2023,Town of Oakville,352151.8,557.8
2023,Town of Oakville,878542.3,4087.7
2023,Town of Oakville,1139777.9,4751.9
2023,Town of Oakville,294245,1026.5
2023,Town of Oakville,1736038.5,9635.1
2023,Town of Oakville,638675.9,3561.5
2023,Town of Oakville,535885.5,1660.7
2023,Town of Oakville,54670.8,161.3
2023,BLUEWATER HEALTH,9476842.4,153772
2023,BLUEWATER HEALTH,1433179.3,338.7
2023,City of Sarnia,3467028.7,15411.9
2023,City of Sarnia,1122162.9,6296.5
2023,City of Sarnia,689996.1,2323.7
2023,City of Sarnia,521755.3,2231.9
2023,City of Sarnia,14549.8,84.2
2023,City of Sarnia,28309.8,103.3
2023,City of Sarnia,15950.7,165.8
2023,City of Sarnia,337485.7,2049
2023,City of Sarnia,198934.1,4152.1
2023,City of Sarnia,96899,1105.9
2023,City of Sarnia,45415.3,215.5
2023,City of Sarnia,427255.3,Not Available
2023,City of Sarnia,4831633.6,13163
2023,City of Sarnia,24011.3,309.6
2023,City of Sarnia,88418.4,307.2
2023,City of Sarnia,34758.5,192.2
2023,City of Sarnia,15619.4,Not Available
2023,City of Sarnia,30473.2,Not Available
2023,City of Sarnia,10684.8,Not Available
2023,City of Sarnia,3104.3,Not Available
2023,City of Sarnia,36484.6,18
2023,City of Sarnia,21177.4,8.9
2023,City of Sarnia,6281.1,Not Available
2023,City of Sarnia,9632.6,Not Available
2023,City of Sarnia,83760.1,Not Available
2023,City of Sarnia,57973.1,Not Available
2023,City of Sarnia,11202.7,Not Available
2023,City of Sarnia,2002.9,Not Available
2023,City of Sarnia,44961.5,7.6
2023,City of Sarnia,1673,Not Available
2023,City of Sarnia,7449.8,Not Available
2023,City of Sarnia,90681.9,Not Available
2023,City of Sarnia,7950.6,Not Available
2023,City of Sarnia,4663.8,Not Available
2023,City of Sarnia,19037.7,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,34958.2,Not Available
2023,City of Sarnia,38991.3,Not Available
2023,City of Sarnia,1985.1,Not Available
2023,City of Sarnia,28780.7,68.3
2023,City of Sarnia,15520.9,1.1
2023,City of Sarnia,8015.6,59.3
2023,City of Sarnia,52903.8,61.3
2023,City of Sarnia,23181.9,Not Available
2023,City of Sarnia,5157.1,Not Available
2023,City of Sarnia,8162.4,Not Available
2023,City of Sarnia,14225.3,Not Available
2023,City of Sarnia,47396.1,Not Available
2023,City of Sarnia,39297.6,Not Available
2023,City of Sarnia,3281.9,Not Available
2023,City of Sarnia,15225,Not Available
2023,City of Sarnia,25535.3,Not Available
2023,City of Sarnia,31913.3,Not Available
2023,City of Sarnia,17272.4,Not Available
2023,City of Sarnia,5798.6,Not Available
2023,City of Sarnia,25639.2,98.7
2023,City of Sarnia,4140.7,Not Available
2023,City of Sarnia,3482.5,Not Available
2023,City of Sarnia,2739.1,Not Available
2023,City of Sarnia,1840.4,Not Available
2023,City of Sarnia,0,Not Available
2023,City of Sarnia,178854.9,324.3
2023,City of Sarnia,25147.9,Not Available
2023,City of Sarnia,60726.8,Not Available
2023,City of Sarnia,16514.2,155.4
2023,City of Sarnia,4567.3,Not Available
2023,City of Sarnia,13240.7,Not Available
2023,City of Sarnia,15165.5,Not Available
2023,City of Sarnia,25043.2,Not Available
2023,City of Sarnia,119498.7,202.3
2023,City of Sarnia,27123.2,Not Available
2023,City of Sarnia,82809.6,1707.7
2023,City of Sarnia,9677,Not Available
2023,City of Sarnia,11353.3,121.9
2023,City of Sarnia,13240.7,Not Available
2023,City of Sarnia,6788.6,Not Available
2023,City of Sarnia,3982.4,Not Available
2023,City of Sarnia,139440.4,Not Available
2023,City of Sarnia,2694.8,54.6
2023,City of Sarnia,108485.1,136.7
2023,City of Sarnia,5663.5,Not Available
2023,City of Sarnia,4156.3,Not Available
2023,City of Sarnia,3288.5,Not Available
2023,City of Sarnia,7697.3,Not Available
2023,City of Sarnia,16756.3,Not Available
2023,City of Sarnia,7179.8,Not Available
2023,City of Sarnia,117191.7,Not Available
2023,City of Sarnia,834197.1,1209.5
2023,City of Sarnia,46150.7,622.3
2023,City of Sarnia,890676.9,4090.9
2023,City of Sarnia,54099.7,500.1
2023,City of Sarnia,8501.7,Not Available
2023,City of Sarnia,44495,218.2
2023,City of Sarnia,808.7,Not Available
2023,City of Sarnia,8720,Not Available
2023,City of Sarnia,18093.9,Not Available
2023,City of Sarnia,5638.3,Not Available
2023,City of Sarnia,36038.6,Not Available
2023,City of Sarnia,1712133.8,Not Available
2023,City of Sarnia,57961.5,Not Available
2023,City of Sarnia,1001.1,Not Available
2023,City of Sarnia,1001.1,Not Available
2023,City of Sarnia,2518678.3,Not Available
2023,City of Sarnia,140100,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,1317.4,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,1313.8,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,1317.4,Not Available
2023,City of Sarnia,1317.4,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,1317.4,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,1317.4,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,1317.4,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,4507.1,Not Available
2023,City of Sarnia,77976,Not Available
2023,City of Sarnia,10948.1,Not Available
2023,City of Sarnia,0,Not Available
2023,City of Sarnia,50034.8,Not Available
2023,City of Sarnia,6675.4,Not Available
2023,City of Sarnia,Not Available,Not Available
2023,City of Sarnia,6558,Not Available
2023,Township of King,2037667.4,1126.7
2023,Township of King,505348.7,1728
2023,Township of King,452180.9,1231.4
2023,Township of King,250913.8,1032.4
2023,Township of King,31032,178.8
2023,Township of King,28714,206.9
2023,Township of King,23124,134.1
2023,Township of King,91372.9,148.5
2023,Township of King,33086,245
2023,Township of King,513266.1,131.6
2023,Town of Halton Hills,618474.1,1077.7
2023,Town of Halton Hills,19154.7,477.6
2023,Town of Halton Hills,92783.2,654.2
2023,Town of Halton Hills,821026.8,8075.4
2023,Town of Halton Hills,2932627.3,9137.8
2023,Town of Halton Hills,1460998.9,5484.4
2023,Town of Halton Hills,171512.5,45.3
2023,Town of Halton Hills,41546.3,80
2023,Town of Halton Hills,15396,354
2023,Town of Halton Hills,232896.4,567.7
2023,Town of Halton Hills,182647.5,325.3
2023,Town of Halton Hills,448327.7,2811.9
2023,Town of Halton Hills,634664.3,75.1
2023,Alexandra Hospital,1918268.4,16417.8
2023,Barrie Royal Victoria Regional Health Centre,Not Available,Not Available
2023,Barrie Royal Victoria Regional Health Centre,Not Available,Not Available
2023,Barrie Royal Victoria Regional Health Centre,Not Available,Not Available
2023,Barrie Royal Victoria Regional Health Centre,Not Available,Not Available
2023,Blind River District Health Centre,2330633.8,29559.3
2023,Boreal College,7868,67.3
2023,Boreal College,41844.5,296.5
2023,Boreal College,5679947,10776.7
2023,Boreal College,Not Available,2292.5
2023,Boreal College,Not Available,1126.6
2023,Boreal College,Not Available,864.6
2023,Boreal College,Not Available,3827.4
2023,Boreal College,669993.1,4994.1
2023,Boreal College,715176.2,1352.2
2023,Brampton William Osler Health System,36085103.4,230708.7
2023,Brampton William Osler Health System,8499752.1,12924.5
2023,Brampton William Osler Health System,166649.5,910.4
2023,Brampton William Osler Health System,20341757.7,139708.7
2023,Cambrian College,10650434.5,19041.6
2023,Cambrian College,24192.5,278.3
2023,Cambridge Memorial Hospital,3790631.1,156140.6
2023,Canadore College,586405.1,3659.6
2023,Canadore College,3800981.4,18940.8
2023,Canadore College,1104114.2,2714.5
2023,Canadore College,162294.8,556.2
2023,Carleton University,69204301.8,553241.6
2023,City of Belleville,410238.8,1339.6
2023,City of Belleville,39997.1,310.7
2023,City of Belleville,301227.4,891
2023,City of Belleville,64225.2,281.8
2023,City of Belleville,9883,98.5
2023,City of Belleville,1853.4,Not Available
2023,City of Belleville,2055,Not Available
2023,City of Belleville,14983.3,110
2023,City of Belleville,198.2,81.2
2023,City of Belleville,132.1,Not Available
2023,City of Belleville,220850.1,1277.2
2023,City of Belleville,207047.8,1857.3
2023,City of Belleville,59876.1,402.7
2023,City of Belleville,18492.4,Not Available
2023,City of Belleville,7277.8,Not Available
2023,City of Belleville,29317.4,416.6
2023,City of Belleville,66741.2,320.3
2023,City of Belleville,1655.3,Not Available
2023,City of Belleville,68626,775.8
2023,City of Belleville,1185584.5,4825.6
2023,City of Belleville,126583.7,649.5
2023,City of Belleville,5658.7,168.4
2023,City of Belleville,5606.4,Not Available
2023,City of Belleville,53944.1,469.6
2023,City of Belleville,128497.2,1768.3
2023,City of Belleville,4058946.1,Not Available
2023,City of Belleville,2669383.1,45999.2
2023,City of Belleville,38441.2,217.6
2023,City of Belleville,129513.6,2500.7
2023,City of Belleville,48540.9,141
2023,City of Belleville,3125168.8,8449.9
2023,City of Belleville,3456889.8,3843.8
2023,City of Brantford,203877.9,Not Available
2023,City of Brantford,355239,Not Available
2023,City of Brantford,355139,Not Available
2023,City of Brantford,43637,Not Available
2023,City of Brantford,64664,Not Available
2023,City of Brantford,241072,Not Available
2023,City of Brantford,63970,Not Available
2023,City of Brantford,29296,Not Available
2023,City of Brantford,39364,Not Available
2023,City of Brantford,38726,Not Available
2023,City of Brantford,16294,Not Available
2023,City of Brantford,61359,416.5
2023,City of Brantford,26297,202.1
2023,City of Brantford,53247,Not Available
2023,City of Brantford,Not Available,Not Available
2023,City of Brantford,Not Available,Not Available
2023,City of Brantford,12170,91.7
2023,City of Brantford,12170,113.5
2023,City of Brantford,12170,206.8
2023,City of Brantford,65714,351
2023,City of Brantford,572388,625.7
2023,City of Brantford,250264,1752.1
2023,City of Brantford,123264,438
2023,City of Brantford,968639.9,4177.9
2023,City of Brantford,28070,881.7
2023,City of Brantford,184365.9,1038.8
2023,City of Brantford,9614,1209.1
2023,City of Brantford,7711860.7,5487.6
2023,City of Brantford,143876.9,299.2
2023,City of Brantford,186405,894.6
2023,City of Brantford,2482,131.4
2023,City of Brantford,46681,350
2023,City of Brantford,47963,84.2
2023,City of Brantford,3602,256.3
2023,City of Brantford,159612,66.4
2023,City of Brantford,3324,312.4
2023,City of Brantford,Not Available,Not Available
2023,City of Brantford,11639,Not Available
2023,City of Brantford,385454,1316.9
2023,City of Brantford,423896,Not Available
2023,City of Brantford,65767,388.1
2023,City of Brantford,11315,96.8
2023,City of Brantford,7571,337.1
2023,City of Brantford,57936,417.9
2023,City of Brantford,53056,83.6
2023,City of Brantford,4569,189.2
2023,City of Brantford,952452.8,3816.8
2023,City of Brantford,Not Available,Not Available
2023,City of Brantford,176959.9,3054.5
2023,City of Brantford,23693,274.2
2023,City of Brantford,267659,282.7
2023,City of Brantford,65112,1302.4
2023,City of Brantford,93807,1252.7
2023,City of Brantford,885995.9,4262.5
2023,City of Brantford,1201,210.8
2023,City of Brantford,115727,Not Available
2023,City of Brantford,87098,649.2
2023,City of Brantford,6698090.4,8630.5
2023,City of Brantford,509324.9,Not Available
2023,City of Brantford,588161.9,136.7
2023,City of Brantford,1087228.1,970.7
2023,City of Brantford,54491,Not Available
2023,City of Brantford,6895606.5,24145.3
2023,City of Brantford,111755,524.3
2023,City of Brockville,914697.9,3374.3
2023,City of Brockville,195082,1984.7
2023,City of Brockville,34474,449.6
2023,City of Brockville,195667,345.8
2023,City of Brockville,524980.9,403.1
2023,City of Brockville,505748.9,Not Available
2023,City of Brockville,150904,573.5
2023,City of Brockville,138920,585.4
2023,City of Brockville,411320,1316.2
2023,City of Brockville,10667,134.7
2023,City of Brockville,276171,582.9
2023,City of Brockville,345383,Not Available
2023,City of Brockville,8296,86.1
2023,City of Brockville,0,0
2023,City of Brockville,2481210.6,8156.5
2023,City of Brockville,1376,0
2023,City of Brockville,1492558.8,1178.9
2023,City of Burlington,509113.3,1733.2
2023,City of Burlington,71403.1,Not Available
2023,City of Burlington,246078,4188.6
2023,City of Burlington,163334.3,Not Available
2023,City of Burlington,484206.2,4783.7
2023,City of Burlington,61572.5,988.8
2023,City of Burlington,3221741.5,15225.9
2023,City of Burlington,428750.2,939.9
2023,City of Burlington,285996.6,955
2023,City of Burlington,Not Available,212.2
2023,City of Burlington,0,0.2
2023,City of Burlington,958553.2,1745.5
2023,City of Burlington,270875.7,1359.4
2023,City of Burlington,408744.8,3108.1
2023,City of Burlington,691914.5,1128.3
2023,City of Burlington,1240837.8,3386.5
2023,City of Burlington,40643.8,Not Available
2023,City of Burlington,1073866.9,2768.7
2023,City of Burlington,19557.6,Not Available
2023,City of Burlington,92529.2,382.5
2023,City of Burlington,25040,218.1
2023,City of Burlington,24406,156.6
2023,City of Burlington,30639.3,Not Available
2023,City of Burlington,431449.8,1769.3
2023,City of Burlington,79002.9,338.9
2023,City of Burlington,66016.5,326.3
2023,City of Burlington,165355.7,622.7
2023,City of Burlington,24090.3,216.1
2023,City of Burlington,80228.2,467.6
2023,City of Burlington,85848,352
2023,City of Burlington,89185.1,497
2023,City of Burlington,787481.1,2707.9
2023,City of Burlington,27868.5,Not Available
2023,City of Burlington,1338504.9,3495
2023,City of Burlington,675003.7,3547.9
2023,City of Burlington,532605.5,3827.7
2023,City of Burlington,64566,190.6
2023,City of Burlington,397454.2,2911.4
2023,City of Burlington,19181.1,106.2
2023,City of Burlington,193822,Not Available
2023,City of Burlington,40320,200.5
2023,City of Burlington,76422.8,785.3
2023,City of Burlington,28104.2,Not Available
2023,City of Burlington,43672.8,274.2
2023,City of Burlington,1544438.8,10092.1
2023,City of Burlington,102088.6,Not Available
2023,City of Burlington,16361.2,59.3
2023,City of Cambridge,21602.9,Not Available
2023,City of Cambridge,548366.6,5319.9
2023,City of Cambridge,132700.2,512.2
2023,City of Cambridge,6606.8,174.9
2023,City of Cambridge,1425182.5,3484.9
2023,City of Cambridge,28895.1,334.3
2023,City of Cambridge,26606.9,640.1
2023,City of Cambridge,13128.3,319.9
2023,City of Cambridge,25034,243.2
2023,City of Cambridge,31908,310
2023,City of Cambridge,479683.5,1176.1
2023,City of Cambridge,324500.3,1148.2
2023,City of Cambridge,407025.9,1931.6
2023,City of Cambridge,17320.1,60.5
2023,City of Cambridge,68602.7,372.1
2023,City of Cambridge,43410.3,84.5
2023,City of Cambridge,170184.1,1190.2
2023,City of Cambridge,198462.3,1375.2
2023,City of Cambridge,72899.1,833.6
2023,City of Cambridge,79914.4,813.3
2023,City of Cambridge,71165,672.3
2023,City of Cambridge,10888.3,180.6
2023,City of Cambridge,824244.1,3748.7
2023,City of Cambridge,236931,841.2
2023,City of Cambridge,2031869.8,6041.8
2023,City of Cambridge,168189.7,805.4
2023,City of Cambridge,543260.6,4362.9
2023,City of Cambridge,375209,1276.4
2023,City of Cambridge,461596.9,1893.2
2023,City of Cambridge,336711,766.8
2023,City of Cambridge,15399.7,533.7
2023,City of Cambridge,14833.1,271.6
2023,City of Cambridge,7688.6,325.6
2023,City of Cambridge,18147.3,325.6
2023,City of Cambridge,119866,609.4
2023,City of Cambridge,311509.9,1625
2023,City of Cambridge,17068.4,101.8
2023,City of Cambridge,55705.2,215.8
2023,City of Cambridge,11219.1,207.9
2023,City of Cambridge,37942.5,345.4
2023,City of Cambridge,3329.3,Not Available
2023,City of Cambridge,817296.4,2169.9
2023,City of Cornwall,353560,1214.3
2023,City of Cornwall,3182040.1,10928.4
2023,City of Cornwall,235439.9,496.8
2023,City of Cornwall,24648,Not Available
2023,City of Cornwall,224050,Not Available
2023,City of Cornwall,4725,Not Available
2023,City of Cornwall,200517.9,130
2023,City of Cornwall,32184,Not Available
2023,City of Cornwall,3007966.6,1950.1
2023,City of Cornwall,401074.9,260
2023,City of Cornwall,1426839.6,925
2023,City of Cornwall,69716,Not Available
2023,City of Cornwall,268019.9,1339.1
2023,City of Cornwall,175907,997
2023,City of Cornwall,115403,919.3
2023,City of Cornwall,35098,Not Available
2023,City of Cornwall,771463.9,2773.9
2023,City of Cornwall,264947,952.7
2023,City of Cornwall,146172,360
2023,City of Cornwall,32059,53.2
2023,City of Cornwall,748855,Not Available
2023,City of Cornwall,4826,153.4
2023,City of Cornwall,257946,220.4
2023,City of Cornwall,45388,35.8
2023,City of Cornwall,132924,1879
2023,City of Cornwall,16031,314.7
2023,City of Cornwall,4405,462.7
2023,City of Cornwall,68812,0
2023,City of Cornwall,4988,0
2023,City of Cornwall,59050,Not Available
2023,City of Cornwall,9570,Not Available
2023,City of Cornwall,15161,Not Available
2023,City of Cornwall,14074,Not Available
2023,City of Cornwall,28846,Not Available
2023,City of Cornwall,207616.9,2061.6
2023,City of Cornwall,11983,119
2023,City of Cornwall,3889799.8,2876.8
2023,City of Cornwall,1481099.6,267.1
2023,City of Cornwall,56098,Not Available
2023,City of Cornwall,3156479.4,3725.7
2023,City of Cornwall,35760,112.2
2023,City of Hamilton,162361,416.8
2023,City of Hamilton,207084.9,Not Available
2023,City of Hamilton,375783,2974.3
2023,City of Hamilton,2543,Not Available
2023,City of Hamilton,37204,495.4
2023,City of Hamilton,218825.9,2609.9
2023,City of Hamilton,120200,1008.1
2023,City of Hamilton,233622,239.8
2023,City of Hamilton,10758,Not Available
2023,City of Hamilton,19410,759.4
2023,City of Hamilton,80517,367.5
2023,City of Hamilton,12610,488
2023,City of Hamilton,354931.8,8353.8
2023,City of Hamilton,17721,250
2023,City of Hamilton,43972,292.1
2023,City of Hamilton,546467.9,5273.8
2023,City of Hamilton,447556.9,3384.8
2023,City of Hamilton,1218512.6,3519.3
2023,City of Hamilton,385649,Not Available
2023,City of Hamilton,59732,Not Available
2023,City of Hamilton,236709,2270.2
2023,City of Hamilton,616843,2500.7
2023,City of Hamilton,68463,303.4
2023,City of Hamilton,42937,277.5
2023,City of Hamilton,44155,677.1
2023,City of Hamilton,3081,Not Available
2023,City of Hamilton,44155,54.1
2023,City of Hamilton,Not Available,4218.5
2023,City of Hamilton,326523.9,Not Available
2023,City of Hamilton,341231,2124.2
2023,City of Hamilton,32510,61.3
2023,City of Hamilton,17930,315.1
2023,City of Hamilton,4048,234.1
2023,City of Hamilton,239555,3629.5
2023,City of Hamilton,3939595.8,Not Available
2023,City of Hamilton,829664.9,73.2
2023,City of Hamilton,2828395.6,11058
2023,City of Hamilton,3192259.4,28.3
2023,City of Hamilton,260569,1300.7
2023,City of Hamilton,1803441,8390.9
2023,City of Hamilton,16357,283
2023,City of Hamilton,142704,1450
2023,City of Hamilton,107005,590.2
2023,City of Hamilton,67082,494.2
2023,City of Hamilton,375854,1324
2023,City of Hamilton,284700.9,Not Available
2023,City of Hamilton,1525316.8,8471.3
2023,City of Hamilton,406458.9,634.3
2023,City of Hamilton,391975,4047.7
2023,City of Hamilton,14094.8,76
2023,City of Hamilton,137118,2615.5
2023,City of Hamilton,228085,769.6
2023,City of Hamilton,278394,789.4
2023,City of Hamilton,172957,721.7
2023,City of Hamilton,161373.9,865.4
2023,City of Hamilton,52,Not Available
2023,City of Hamilton,85592,Not Available
2023,City of Hamilton,105005.2,1727.2
2023,City of Hamilton,223537,1955
2023,City of Hamilton,590445.9,1851.1
2023,City of Hamilton,53634,Not Available
2023,City of Hamilton,14438,192.7
2023,City of Hamilton,138119,1013.6
2023,City of Hamilton,144321,792.5
2023,City of Hamilton,99989,Not Available
2023,City of Hamilton,166549,Not Available
2023,City of Hamilton,60105,Not Available
2023,City of Hamilton,41631,2
2023,City of Hamilton,57304,490.6
2023,City of Hamilton,38459,Not Available
2023,City of Hamilton,304685,1921.2
2023,City of Hamilton,121856,795.4
2023,City of Hamilton,63233,687.9
2023,City of Hamilton,485677.9,1922.8
2023,City of Hamilton,111531,789.1
2023,City of Hamilton,137979,518.6
2023,City of Hamilton,69934,435.1
2023,City of Hamilton,123623,634.9
2023,City of Hamilton,140114,579.6
2023,City of Hamilton,79454,536.3
2023,City of Hamilton,162597,874.1
2023,City of Hamilton,124368,1541.3
2023,City of Hamilton,50506,Not Available
2023,City of Hamilton,73089,426.7
2023,City of Hamilton,40117,408.4
2023,City of Hamilton,84356,692.9
2023,City of Hamilton,76110,527.6
2023,City of Hamilton,84512,515
2023,City of Hamilton,90125,468.4
2023,City of Hamilton,118975,579.3
2023,City of Hamilton,131027,944
2023,City of Hamilton,99209,707.3
2023,City of Hamilton,52260,116.8
2023,City of Hamilton,21100,326.7
2023,City of Hamilton,81904,Not Available
2023,City of Hamilton,18989,228.4
2023,City of Hamilton,273609,2138.5
2023,City of Hamilton,5159271.2,207.6
2023,City of Hamilton,1664506.8,1188.8
2023,City of Hamilton,181549,1110.1
